order_id,order_date,customer,product,category,region,quantity,unit_price,discount,sales,profit
ORD11736,2024-01-01,Customer 0369,Laptop,Technology,South,7,71265.84,0.1,448974.77,65829.71
ORD02377,2024-01-01,Customer 0497,Printer,Office Supplies,South,5,19312.02,0.05,91732.08,21102.58
ORD06835,2024-01-01,Customer 0631,Keyboard,Technology,South,7,3061.14,0.0,21427.95,4688.99
ORD06177,2024-01-01,Customer 0621,Notebook,Office Supplies,West,6,416.88,0.1,2251.15,673.41
ORD08953,2024-01-01,Customer 1177,Bookshelf,Furniture,North,7,7087.58,0.05,47132.42,6093.34
ORD01169,2024-01-01,Customer 0089,Monitor,Technology,East,4,27624.69,0.0,110498.75,21536.64
ORD01620,2024-01-01,Customer 0318,Bookshelf,Furniture,South,2,4405.45,0.1,7929.8,644.47
ORD00647,2024-01-01,Customer 0024,Monitor,Technology,West,2,18697.38,0.1,33655.28,7617.4
ORD03976,2024-01-01,Customer 0374,Pen Set,Office Supplies,South,4,403.89,0.0,1615.55,310.7
ORD01700,2024-01-01,Customer 0119,Notebook,Office Supplies,West,3,366.64,0.05,1044.92,277.56
ORD00456,2024-01-01,Customer 0667,Printer,Office Supplies,South,2,10679.6,0.0,21359.19,4331.79
ORD08064,2024-01-01,Customer 0629,Smartphone,Technology,East,3,60497.26,0.15,154268.02,14764.74
ORD01676,2024-01-01,Customer 0829,Office Chair,Furniture,North,3,10070.71,0.1,27190.91,2927.98
ORD07356,2024-01-01,Customer 0579,Printer,Office Supplies,West,7,18168.81,0.15,108104.41,19933.26
ORD00526,2024-01-01,Customer 0425,Keyboard,Technology,East,3,1345.63,0.0,4036.9,537.23
ORD08830,2024-01-01,Customer 0437,Notebook,Office Supplies,West,3,359.68,0.1,971.13,213.54
ORD09665,2024-01-01,Customer 0036,Monitor,Technology,North,4,16677.98,0.0,66711.93,15511.64
ORD11355,2024-01-01,Customer 0570,Smartphone,Technology,North,4,45715.17,0.0,182860.69,37675.84
ORD04245,2024-01-01,Customer 1172,Smartphone,Technology,South,3,49522.44,0.0,148567.32,30696.76
ORD01340,2024-01-01,Customer 0516,Office Chair,Furniture,West,6,11143.19,0.0,66859.17,14303.7
ORD03700,2024-01-01,Customer 0746,Smartphone,Technology,West,1,24506.46,0.0,24506.46,5166.33
